quota_definition_sid,order_number,geographical_areas,description,headings,commodities,quota_unit,monetary_unit,validity,suspension_periods,blocking_periods,status,last_allocation_date,initial_volume,balance,fill_rate
20814,50006,['ERGA OMNES'],,"['0302 – Fish, fresh or chilled, excluding fish fillets and other fish meat of heading|0304', '0303 – Fish, frozen, excluding fish fillets and other fish meat of heading\xa00304', '0304 – Fish fillets and other fish meat (whether or not minced), fresh, chilled or frozen']","['0302410000', '0303510000', '0304595000', '0304599010', '0304992300']",Kilogram (kg),,"[2021-06-16,2022-02-15)",[],[],Open,,2112000,2112000,0.00E+00
20815,50006,['ERGA OMNES'],,"['0302 – Fish, fresh or chilled, excluding fish fillets and other fish meat of heading|0304', '0303 – Fish, frozen, excluding fish fillets and other fish meat of heading\xa00304', '0304 – Fish fillets and other fish meat (whether or not minced), fresh, chilled or frozen']","['0302410000', '0303510000', '0304595000', '0304599010', '0304992300']",Kilogram (kg),,"[2021-01-01,2021-02-15)",[],[],Closed,28/01/2021,2022900,2022900,0.00E+00
20816,50007,['ERGA OMNES'],,"['0305 – Fish, dried, salted or in brine; smoked fish, whether or not cooked before or during the smoking process; flours, meals and pellets of fish, fit for human consumption']","['0305511010', '0305511020', '0305519010', '0305519020', '0305531000', '0305620020', '0305620025', '0305620050', '0305620060', '0305691000', '0305720010', '0305720015', '0305720020', '0305720025', '0305720030', '0305720035', '0305720050', '0305720052', '0305720056', '0305720060', '0305720062', '0305720064', '0305790010', '0305790015', '0305790020', '0305790025', '0305790030', '0305790035', '0305790050', '0305790052', '0305790056', '0305790060', '0305790062', '0305790064']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Exhausted,19/03/2021,2000,0,1
20817,50008,['ERGA OMNES'],,"['0302 – Fish, fresh or chilled, excluding fish fillets and other fish meat of heading|0304', '0303 – Fish, frozen, excluding fish fillets and other fish meat of heading\xa00304']","['0302311000', '0302321000', '0302331000', '0302341000', '0302351100', '0302359100', '0302361000', '0302392000', '0302491100', '0302892100', '0303411000', '0303422000', '0303431000', '0303441000', '0303451200', '0303459100', '0303461000', '0303492000', '0303592100', '0303892100']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Open,,29000,29000,0.00E+00
20818,50009,['ERGA OMNES'],,"['0302 – Fish, fresh or chilled, excluding fish fillets and other fish meat of heading|0304', '0303 – Fish, frozen, excluding fish fillets and other fish meat of heading\xa00304']","['0302541910', '0303661911', '0303661919']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Open,,1000,1000,0.00E+00
20819,50013,['ERGA OMNES'],,"['4412 – Plywood, veneered panels and similar laminated wood']","['4412390010', '4412998510']",Cubic meter (m3),,"[2021-01-01,2022-01-01)",[],[],Exhausted,17/05/2021,167352,0,1
20820,50023,['ERGA OMNES'],,['7202 – Ferro-alloys'],"['7202491020', '7202495011']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Open,,146000,146000,0.00E+00
20821,50027,['ERGA OMNES'],,"['0805 – Citrus fruit, fresh or dried']","['0805290021', '0805290029']",Kilogram (kg),,"[2021-02-01,2021-05-01)",[],[],Closed,,69000,69000,0.00E+00
20822,50035,['ERGA OMNES'],,"['0712 – Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared']",['0712200000'],Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Critical,13/09/2021,2304000,1183537.03,0.486312053
21751,50035,['ERGA OMNES'],,"['0712 – Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared']",['0712200000'],Kilogram (kg),,"[2022-01-01,2023-01-01)",[],[],Critical,13/09/2021,2230000,1183537.03,0.469265906
